FB;0.00122155;mochila_chica_n10_no_conflict.txt;[0,1,4,7,8,9]
BT;0.00147891;mochila_chica_n10_no_conflict.txt;[0,1,4,7,8,9]
DP;0.00153373;mochila_chica_n10_no_conflict.txt;[0,1,4,7,8,9]
FB;0.0573277;mochila_chica_n20_no_conflict.txt;[0,3,4,5,9,10,14,15,16,17,18,19]
BT;0.22042;mochila_chica_n20_no_conflict.txt;[0,3,4,5,9,10,14,15,16,17,18,19]
DP;0.0103753;mochila_chica_n20_no_conflict.txt;[0,3,4,5,9,10,14,15,16,17,18,19]
FB;61.5302;mochila_chica_n30_no_conflict.txt;[0,1,2,4,5,7,9,10,11,12,13,17,18,20,21,24,25,26,27,28]
BT;33.9133;mochila_chica_n30_no_conflict.txt;[0,1,2,4,5,7,9,10,11,12,13,17,18,20,21,24,25,26,27,28]
DP;0.0337469;mochila_chica_n30_no_conflict.txt;[0,1,2,4,5,7,9,10,11,12,13,17,18,20,21,24,25,26,27,28]
DP;0.0788778;mochila_chica_n40_no_conflict.txt;[0,2,3,6,7,8,9,10,11,12,13,14,15,16,17,18,19,21,22,25,27,28,29,32,35,39]
DP;0.182586;mochila_chica_n50_no_conflict.txt;[1,2,6,9,10,11,12,14,15,16,20,22,23,24,25,26,27,28,29,30,31,32,34,35,36,37,38,40,43,44,45,46,49]
DP;0.302562;mochila_chica_n60_no_conflict.txt;[0,2,3,4,5,6,8,9,11,12,13,14,16,17,19,21,23,24,26,27,31,33,34,35,39,40,41,42,43,44,45,46,47,48,49,50,51,52,54,55,58,59]
DP;0.464802;mochila_chica_n70_no_conflict.txt;[1,2,3,4,5,6,7,8,9,10,11,12,15,16,17,18,20,22,23,24,26,28,29,30,31,32,33,34,35,36,37,38,39,40,42,48,52,53,56,60,62,64,65,66,68,69]
DP;0.679218;mochila_chica_n80_no_conflict.txt;[0,1,2,3,5,6,7,8,10,11,13,14,16,17,18,21,22,23,24,26,27,29,32,34,35,36,38,39,40,42,43,44,46,48,49,51,52,53,54,55,59,60,61,62,63,66,67,68,69,71,72,74,76,77,78]
